secid,date,ticker,rate
102456,2019/04/01,DJX,2.176226
102456,2019/04/02,DJX,2.178722
102456,2019/04/03,DJX,2.206089
102456,2019/04/04,DJX,2.206775
102456,2019/04/05,DJX,2.1972
102456,2019/04/08,DJX,2.201349
102456,2019/04/09,DJX,2.210192
102456,2019/04/10,DJX,2.223616
102456,2019/04/11,DJX,2.205871
102456,2019/04/12,DJX,2.226723
102456,2019/04/15,DJX,2.233108
102456,2019/04/16,DJX,2.252348
102456,2019/04/17,DJX,2.257491
102456,2019/04/18,DJX,2.263301
102456,2019/04/22,DJX,2.274961
102456,2019/04/23,DJX,2.313422
102456,2019/04/24,DJX,2.312466
102456,2019/04/25,DJX,2.324842
102456,2019/04/26,DJX,2.34925
102456,2019/04/29,DJX,2.371645
102456,2019/04/30,DJX,2.392888
102456,2019/05/01,DJX,2.408902
102456,2019/05/02,DJX,2.424577
102456,2019/05/03,DJX,2.42718
102456,2019/05/06,DJX,2.454545
102456,2019/05/07,DJX,2.463025
102456,2019/05/08,DJX,2.475391
102456,2019/05/09,DJX,2.488839
102456,2019/05/10,DJX,2.489428
102456,2019/05/13,DJX,2.495028
102456,2019/05/14,DJX,2.498005
102456,2019/05/15,DJX,2.496964
102456,2019/05/16,DJX,2.501678
102456,2019/05/17,DJX,2.502135
102456,2019/05/20,DJX,2.506165
102456,2019/05/21,DJX,2.509844
102456,2019/05/22,DJX,2.514285
102456,2019/05/23,DJX,2.51346
102456,2019/05/24,DJX,2.513049
102456,2019/05/28,DJX,2.523259
102456,2019/05/29,DJX,2.523477
102456,2019/05/30,DJX,2.519649
102456,2019/05/31,DJX,2.518226
102456,2019/06/03,DJX,2.515734
102456,2019/06/04,DJX,2.514172
102456,2019/06/05,DJX,2.514734
102456,2019/06/06,DJX,2.522747
102456,2019/06/07,DJX,2.52075
102456,2019/06/10,DJX,2.516746
102456,2019/06/11,DJX,2.517589
102456,2019/06/12,DJX,2.516594
102456,2019/06/13,DJX,2.516524
102456,2019/06/14,DJX,2.516895
102456,2019/06/17,DJX,2.515705
102456,2019/06/18,DJX,2.518302
102456,2019/06/19,DJX,2.519892
102456,2019/06/20,DJX,2.520236
102456,2019/06/21,DJX,2.525102
102456,2019/06/24,DJX,2.530289
102456,2019/06/25,DJX,2.532333
102456,2019/06/26,DJX,2.526505
102456,2019/06/27,DJX,2.528006
102456,2019/06/28,DJX,2.540726
