PERMNO,date,TICKER,PRC
10107,2019/04/01,MSFT,119.02000
10107,2019/04/02,MSFT,119.19000
10107,2019/04/03,MSFT,119.97000
10107,2019/04/04,MSFT,119.36000
10107,2019/04/05,MSFT,119.89000
10107,2019/04/08,MSFT,119.93000
10107,2019/04/09,MSFT,119.28000
10107,2019/04/10,MSFT,120.19000
10107,2019/04/11,MSFT,120.33000
10107,2019/04/12,MSFT,120.95000
10107,2019/04/15,MSFT,121.05000
10107,2019/04/16,MSFT,120.77000
10107,2019/04/17,MSFT,121.77000
10107,2019/04/18,MSFT,123.37000
10107,2019/04/22,MSFT,123.76000
10107,2019/04/23,MSFT,125.44000
10107,2019/04/24,MSFT,125.01000
10107,2019/04/25,MSFT,129.14999
10107,2019/04/26,MSFT,129.89000
10107,2019/04/29,MSFT,129.77000
10107,2019/04/30,MSFT,130.60001
10107,2019/05/01,MSFT,127.88000
10107,2019/05/02,MSFT,126.21000
10107,2019/05/03,MSFT,128.89999
10107,2019/05/06,MSFT,128.14999
10107,2019/05/07,MSFT,125.52000
10107,2019/05/08,MSFT,125.51000
10107,2019/05/09,MSFT,125.50000
10107,2019/05/10,MSFT,127.13000
10107,2019/05/13,MSFT,123.35000
10107,2019/05/14,MSFT,124.73000
10107,2019/05/15,MSFT,126.02000
10107,2019/05/16,MSFT,128.92999
10107,2019/05/17,MSFT,128.07001
10107,2019/05/20,MSFT,126.22000
10107,2019/05/21,MSFT,126.90000
10107,2019/05/22,MSFT,127.67000
10107,2019/05/23,MSFT,126.18000
10107,2019/05/24,MSFT,126.24000
10107,2019/05/28,MSFT,126.16000
10107,2019/05/29,MSFT,124.94000
10107,2019/05/30,MSFT,125.73000
10107,2019/05/31,MSFT,123.68000
10107,2019/06/03,MSFT,119.84000
10107,2019/06/04,MSFT,123.16000
10107,2019/06/05,MSFT,125.83000
10107,2019/06/06,MSFT,127.82000
10107,2019/06/07,MSFT,131.39999
10107,2019/06/10,MSFT,132.60001
10107,2019/06/11,MSFT,132.10001
10107,2019/06/12,MSFT,131.49001
10107,2019/06/13,MSFT,132.32001
10107,2019/06/14,MSFT,132.45000
10107,2019/06/17,MSFT,132.85001
10107,2019/06/18,MSFT,135.16000
10107,2019/06/19,MSFT,135.69000
10107,2019/06/20,MSFT,136.95000
10107,2019/06/21,MSFT,136.97000
10107,2019/06/24,MSFT,137.78000
10107,2019/06/25,MSFT,133.42999
10107,2019/06/26,MSFT,133.92999
10107,2019/06/27,MSFT,134.14999
10107,2019/06/28,MSFT,133.96001
11308,2019/04/01,KO,46.72000
11308,2019/04/02,KO,46.57000
11308,2019/04/03,KO,46.18000
11308,2019/04/04,KO,46.48000
11308,2019/04/05,KO,46.47000
11308,2019/04/08,KO,46.55000
11308,2019/04/09,KO,46.67000
11308,2019/04/10,KO,46.64000
11308,2019/04/11,KO,46.71000
11308,2019/04/12,KO,46.74000
11308,2019/04/15,KO,47.00000
11308,2019/04/16,KO,46.95000
11308,2019/04/17,KO,47.28000
11308,2019/04/18,KO,47.48000
11308,2019/04/22,KO,47.40000
11308,2019/04/23,KO,48.21000
11308,2019/04/24,KO,47.98000
11308,2019/04/25,KO,47.84000
11308,2019/04/26,KO,48.26000
11308,2019/04/29,KO,48.42000
11308,2019/04/30,KO,49.06000
11308,2019/05/01,KO,48.59000
11308,2019/05/02,KO,48.39000
11308,2019/05/03,KO,48.72000
11308,2019/05/06,KO,48.47000
11308,2019/05/07,KO,48.00000
11308,2019/05/08,KO,47.85000
11308,2019/05/09,KO,47.40000
11308,2019/05/10,KO,48.19000
11308,2019/05/13,KO,48.05000
11308,2019/05/14,KO,48.69000
11308,2019/05/15,KO,49.18000
11308,2019/05/16,KO,49.58000
11308,2019/05/17,KO,49.20000
11308,2019/05/20,KO,48.85000
11308,2019/05/21,KO,48.60000
11308,2019/05/22,KO,49.65000
11308,2019/05/23,KO,49.85000
11308,2019/05/24,KO,49.61000
11308,2019/05/28,KO,49.10000
11308,2019/05/29,KO,48.61000
11308,2019/05/30,KO,49.25000
11308,2019/05/31,KO,49.13000
11308,2019/06/03,KO,49.98000
11308,2019/06/04,KO,50.00000
11308,2019/06/05,KO,50.78000
11308,2019/06/06,KO,51.40000
11308,2019/06/07,KO,51.49000
11308,2019/06/10,KO,51.38000
11308,2019/06/11,KO,51.33000
11308,2019/06/12,KO,51.64000
11308,2019/06/13,KO,51.13000
11308,2019/06/14,KO,51.31000
11308,2019/06/17,KO,50.87000
11308,2019/06/18,KO,50.64000
11308,2019/06/19,KO,51.12000
11308,2019/06/20,KO,51.66000
11308,2019/06/21,KO,51.55000
11308,2019/06/24,KO,51.92000
11308,2019/06/25,KO,51.76000
11308,2019/06/26,KO,51.12000
11308,2019/06/27,KO,51.08000
11308,2019/06/28,KO,50.92000
11850,2019/04/01,XOM,81.73000
11850,2019/04/02,XOM,81.38000
11850,2019/04/03,XOM,80.90000
11850,2019/04/04,XOM,82.05000
11850,2019/04/05,XOM,82.49000
11850,2019/04/08,XOM,83.00000
11850,2019/04/09,XOM,81.93000
11850,2019/04/10,XOM,81.56000
11850,2019/04/11,XOM,81.95000
11850,2019/04/12,XOM,80.92000
11850,2019/04/15,XOM,80.65000
11850,2019/04/16,XOM,81.20000
11850,2019/04/17,XOM,81.43000
11850,2019/04/18,XOM,81.13000
11850,2019/04/22,XOM,82.90000
11850,2019/04/23,XOM,83.38000
11850,2019/04/24,XOM,81.76000
11850,2019/04/25,XOM,82.22000
11850,2019/04/26,XOM,80.49000
11850,2019/04/29,XOM,79.97000
11850,2019/04/30,XOM,80.28000
11850,2019/05/01,XOM,78.67000
11850,2019/05/02,XOM,77.29000
11850,2019/05/03,XOM,77.47000
11850,2019/05/06,XOM,77.13000
11850,2019/05/07,XOM,76.72000
11850,2019/05/08,XOM,76.84000
11850,2019/05/09,XOM,76.77000
11850,2019/05/10,XOM,76.56000
11850,2019/05/13,XOM,75.71000
11850,2019/05/14,XOM,75.81000
11850,2019/05/15,XOM,76.37000
11850,2019/05/16,XOM,76.36000
11850,2019/05/17,XOM,75.91000
11850,2019/05/20,XOM,75.90000
11850,2019/05/21,XOM,76.25000
11850,2019/05/22,XOM,75.56000
11850,2019/05/23,XOM,73.79000
11850,2019/05/24,XOM,74.10000
11850,2019/05/28,XOM,72.61000
11850,2019/05/29,XOM,72.16000
11850,2019/05/30,XOM,71.97000
11850,2019/05/31,XOM,70.77000
11850,2019/06/03,XOM,71.88000
11850,2019/06/04,XOM,73.59000
11850,2019/06/05,XOM,72.98000
11850,2019/06/06,XOM,74.31000
11850,2019/06/07,XOM,74.58000
11850,2019/06/10,XOM,74.91000
11850,2019/06/11,XOM,74.84000
11850,2019/06/12,XOM,74.03000
11850,2019/06/13,XOM,74.68000
11850,2019/06/14,XOM,74.35000
11850,2019/06/17,XOM,75.09000
11850,2019/06/18,XOM,75.74000
11850,2019/06/19,XOM,75.32000
11850,2019/06/20,XOM,76.61000
11850,2019/06/21,XOM,77.69000
11850,2019/06/24,XOM,76.95000
11850,2019/06/25,XOM,76.27000
11850,2019/06/26,XOM,76.60000
11850,2019/06/27,XOM,75.82000
11850,2019/06/28,XOM,76.63000
12060,2019/04/01,GE,10.10000
12060,2019/04/02,GE,10.24000
12060,2019/04/03,GE,10.10000
12060,2019/04/04,GE,10.03000
12060,2019/04/05,GE,10.01000
12060,2019/04/08,GE,9.49000
12060,2019/04/09,GE,9.22000
12060,2019/04/10,GE,9.16000
12060,2019/04/11,GE,9.12000
12060,2019/04/12,GE,9.00000
12060,2019/04/15,GE,8.98000
12060,2019/04/16,GE,9.14000
12060,2019/04/17,GE,9.12000
12060,2019/04/18,GE,9.35000
12060,2019/04/22,GE,9.32000
12060,2019/04/23,GE,9.33000
12060,2019/04/24,GE,9.32000
12060,2019/04/25,GE,9.12000
12060,2019/04/26,GE,9.57000
12060,2019/04/29,GE,9.73000
12060,2019/04/30,GE,10.17000
12060,2019/05/01,GE,10.10000
12060,2019/05/02,GE,10.25000
12060,2019/05/03,GE,10.50000
12060,2019/05/06,GE,10.43000
