gvkey,iid,datadate,tic,div
002136,01,2019/05/17,VZ,
002136,01,2019/05/20,VZ,
002136,01,2019/05/21,VZ,
002136,01,2019/05/22,VZ,
002136,01,2019/05/23,VZ,
002136,01,2019/05/24,VZ,
002136,01,2019/05/28,VZ,
002136,01,2019/05/29,VZ,
002136,01,2019/05/30,VZ,
002136,01,2019/05/31,VZ,
002136,01,2019/06/03,VZ,
002136,01,2019/06/04,VZ,
002136,01,2019/06/05,VZ,
002136,01,2019/06/06,VZ,
002136,01,2019/06/07,VZ,
002136,01,2019/06/10,VZ,
002136,01,2019/06/11,VZ,
002136,01,2019/06/12,VZ,
002136,01,2019/06/13,VZ,
002136,01,2019/06/14,VZ,
002136,01,2019/06/17,VZ,
002136,01,2019/06/18,VZ,
002136,01,2019/06/19,VZ,
002136,01,2019/06/20,VZ,
002136,01,2019/06/21,VZ,
002136,01,2019/06/24,VZ,
002136,01,2019/06/25,VZ,
002136,01,2019/06/26,VZ,
002136,01,2019/06/27,VZ,
002136,01,2019/06/28,VZ,
002285,01,2019/04/01,BA,
002285,01,2019/04/02,BA,
002285,01,2019/04/03,BA,
002285,01,2019/04/04,BA,
002285,01,2019/04/05,BA,
002285,01,2019/04/08,BA,
002285,01,2019/04/09,BA,
002285,01,2019/04/10,BA,
002285,01,2019/04/11,BA,
002285,01,2019/04/12,BA,
002285,01,2019/04/15,BA,
002285,01,2019/04/16,BA,
002285,01,2019/04/17,BA,
002285,01,2019/04/18,BA,
002285,01,2019/04/22,BA,
002285,01,2019/04/23,BA,
002285,01,2019/04/24,BA,
002285,01,2019/04/25,BA,
002285,01,2019/04/26,BA,
002285,01,2019/04/29,BA,
002285,01,2019/04/30,BA,
002285,01,2019/05/01,BA,
002285,01,2019/05/02,BA,
002285,01,2019/05/03,BA,
002285,01,2019/05/06,BA,
002285,01,2019/05/07,BA,
002285,01,2019/05/08,BA,
002285,01,2019/05/09,BA,2.0550
002285,01,2019/05/10,BA,
002285,01,2019/05/13,BA,
002285,01,2019/05/14,BA,
002285,01,2019/05/15,BA,
002285,01,2019/05/16,BA,
002285,01,2019/05/17,BA,
002285,01,2019/05/20,BA,
002285,01,2019/05/21,BA,
002285,01,2019/05/22,BA,
002285,01,2019/05/23,BA,
002285,01,2019/05/24,BA,
002285,01,2019/05/28,BA,
002285,01,2019/05/29,BA,
002285,01,2019/05/30,BA,
002285,01,2019/05/31,BA,
002285,01,2019/06/03,BA,
002285,01,2019/06/04,BA,
002285,01,2019/06/05,BA,
002285,01,2019/06/06,BA,
002285,01,2019/06/07,BA,
002285,01,2019/06/10,BA,
002285,01,2019/06/11,BA,
002285,01,2019/06/12,BA,
002285,01,2019/06/13,BA,
002285,01,2019/06/14,BA,
002285,01,2019/06/17,BA,
002285,01,2019/06/18,BA,
002285,01,2019/06/19,BA,
002285,01,2019/06/20,BA,
002285,01,2019/06/21,BA,
002285,01,2019/06/24,BA,
002285,01,2019/06/25,BA,
002285,01,2019/06/26,BA,
002285,01,2019/06/27,BA,
002285,01,2019/06/28,BA,
002817,01,2019/04/01,CAT,
002817,01,2019/04/02,CAT,
002817,01,2019/04/03,CAT,
002817,01,2019/04/04,CAT,
002817,01,2019/04/05,CAT,
002817,01,2019/04/08,CAT,
002817,01,2019/04/09,CAT,
002817,01,2019/04/10,CAT,
002817,01,2019/04/11,CAT,
002817,01,2019/04/12,CAT,
002817,01,2019/04/15,CAT,
002817,01,2019/04/16,CAT,
002817,01,2019/04/17,CAT,
002817,01,2019/04/18,CAT,0.8600
002817,01,2019/04/22,CAT,
002817,01,2019/04/23,CAT,
002817,01,2019/04/24,CAT,
002817,01,2019/04/25,CAT,
002817,01,2019/04/26,CAT,
002817,01,2019/04/29,CAT,
002817,01,2019/04/30,CAT,
002817,01,2019/05/01,CAT,
002817,01,2019/05/02,CAT,
002817,01,2019/05/03,CAT,
002817,01,2019/05/06,CAT,
002817,01,2019/05/07,CAT,
002817,01,2019/05/08,CAT,
002817,01,2019/05/09,CAT,
002817,01,2019/05/10,CAT,
002817,01,2019/05/13,CAT,
002817,01,2019/05/14,CAT,
002817,01,2019/05/15,CAT,
002817,01,2019/05/16,CAT,
002817,01,2019/05/17,CAT,
002817,01,2019/05/20,CAT,
002817,01,2019/05/21,CAT,
002817,01,2019/05/22,CAT,
002817,01,2019/05/23,CAT,
002817,01,2019/05/24,CAT,
002817,01,2019/05/28,CAT,
002817,01,2019/05/29,CAT,
002817,01,2019/05/30,CAT,
002817,01,2019/05/31,CAT,
002817,01,2019/06/03,CAT,
002817,01,2019/06/04,CAT,
002817,01,2019/06/05,CAT,
002817,01,2019/06/06,CAT,
002817,01,2019/06/07,CAT,
002817,01,2019/06/10,CAT,
002817,01,2019/06/11,CAT,
002817,01,2019/06/12,CAT,
002817,01,2019/06/13,CAT,
002817,01,2019/06/14,CAT,
002817,01,2019/06/17,CAT,
002817,01,2019/06/18,CAT,
002817,01,2019/06/19,CAT,
002817,01,2019/06/20,CAT,
002817,01,2019/06/21,CAT,
002817,01,2019/06/24,CAT,
002817,01,2019/06/25,CAT,
002817,01,2019/06/26,CAT,
002817,01,2019/06/27,CAT,
002817,01,2019/06/28,CAT,
002968,01,2019/04/01,JPM,
002968,01,2019/04/02,JPM,
002968,01,2019/04/03,JPM,
002968,01,2019/04/04,JPM,0.8000
002968,01,2019/04/05,JPM,
002968,01,2019/04/08,JPM,
002968,01,2019/04/09,JPM,
002968,01,2019/04/10,JPM,
002968,01,2019/04/11,JPM,
002968,01,2019/04/12,JPM,
002968,01,2019/04/15,JPM,
002968,01,2019/04/16,JPM,
002968,01,2019/04/17,JPM,
002968,01,2019/04/18,JPM,
002968,01,2019/04/22,JPM,
002968,01,2019/04/23,JPM,
002968,01,2019/04/24,JPM,
002968,01,2019/04/25,JPM,
002968,01,2019/04/26,JPM,
002968,01,2019/04/29,JPM,
002968,01,2019/04/30,JPM,
002968,01,2019/05/01,JPM,
002968,01,2019/05/02,JPM,
002968,01,2019/05/03,JPM,
002968,01,2019/05/06,JPM,
002968,01,2019/05/07,JPM,
002968,01,2019/05/08,JPM,
002968,01,2019/05/09,JPM,
002968,01,2019/05/10,JPM,
002968,01,2019/05/13,JPM,
002968,01,2019/05/14,JPM,
002968,01,2019/05/15,JPM,
002968,01,2019/05/16,JPM,
002968,01,2019/05/17,JPM,
002968,01,2019/05/20,JPM,
002968,01,2019/05/21,JPM,
002968,01,2019/05/22,JPM,
002968,01,2019/05/23,JPM,
002968,01,2019/05/24,JPM,
002968,01,2019/05/28,JPM,
002968,01,2019/05/29,JPM,
002968,01,2019/05/30,JPM,
002968,01,2019/05/31,JPM,
002968,01,2019/06/03,JPM,
002968,01,2019/06/04,JPM,
002968,01,2019/06/05,JPM,
002968,01,2019/06/06,JPM,
002968,01,2019/06/07,JPM,
002968,01,2019/06/10,JPM,
002968,01,2019/06/11,JPM,
002968,01,2019/06/12,JPM,
002968,01,2019/06/13,JPM,
002968,01,2019/06/14,JPM,
002968,01,2019/06/17,JPM,
002968,01,2019/06/18,JPM,
002968,01,2019/06/19,JPM,
002968,01,2019/06/20,JPM,
002968,01,2019/06/21,JPM,
002968,01,2019/06/24,JPM,
002968,01,2019/06/25,JPM,
002968,01,2019/06/26,JPM,
002968,01,2019/06/27,JPM,
002968,01,2019/06/28,JPM,
002968,22,2019/04/01,JPM.PF,
